date,sentiment_mean,sentiment_positive_ratio,sentiment_negative_ratio,news_count,relevance_weight_sum,sentiment_available,sentiment_source,n_alpha,n_guardian,gdelt_tone
2015-04-01,0.0978665250726173,0.2218977259111366,0.1533412165863279,5,3.0525374442338946,1.0,FINBERT_ALPHA_GUARDIAN,0.0,5.0,
2015-04-02,-0.2618655951784105,0.0,0.3341805657016561,3,1.7586415380239488,1.0,FINBERT_ALPHA_GUARDIAN,0.0,3.0,
2015-04-03,-0.0155850560507606,0.3189598219366347,0.334101229403925,6,4.241598719358445,1.0,FINBERT_ALPHA_GUARDIAN,0.0,6.0,
2015-04-04,0.0,0.0,0.0,3,1.8233963698148727,1.0,FINBERT_ALPHA_GUARDIAN,0.0,3.0,
2015-04-05,0.0,0.0,0.0,2,1.2321596682071687,1.0,FINBERT_ALPHA_GUARDIAN,0.0,2.0,
2015-04-06,-0.7816675901412964,0.0,1.0,1,0.5471673130989075,1.0,FINBERT_ALPHA_GUARDIAN,0.0,1.0,
2015-04-07,-0.0924336775682993,0.0,0.1772065982137316,4,2.2076576083898547,1.0,FINBERT_ALPHA_GUARDIAN,0.0,4.0,
2015-04-08,0.0,0.0,0.0,5,3.1338578820228578,1.0,FINBERT_ALPHA_GUARDIAN,0.0,5.0,
2015-04-09,-0.4093743346115216,0.0,0.4979732528121829,2,1.2381402492523192,1.0,FINBERT_ALPHA_GUARDIAN,0.0,2.0,
2015-04-10,-0.3392117835852061,0.1312082231428732,0.4471103797061407,5,3.0233835436403758,1.0,FINBERT_ALPHA_GUARDIAN,0.0,5.0,
2015-04-12,0.0,0.0,0.0,4,2.4658430427312847,1.0,FINBERT_ALPHA_GUARDIAN,0.0,4.0,
2015-04-13,-0.4861387101458134,0.0,0.5444892976890319,4,2.3497473776340487,1.0,FINBERT_ALPHA_GUARDIAN,0.0,4.0,
2015-04-14,-0.6034308651158169,0.0,0.6763446370229602,5,2.975846476107836,1.0,FINBERT_ALPHA_GUARDIAN,0.0,5.0,
2015-04-15,-0.2331005550174387,0.0,0.2484074869272566,10,6.3716666772961625,1.0,FINBERT_ALPHA_GUARDIAN,0.0,10.0,
2015-04-16,-0.0356638682854778,0.1984892213597568,0.2247738744237765,5,3.2183025836944585,1.0,FINBERT_ALPHA_GUARDIAN,0.0,5.0,
2015-04-17,-0.4197644196449724,0.1344092204451328,0.576648751936225,6,3.059587553143501,1.0,FINBERT_ALPHA_GUARDIAN,0.0,6.0,
2015-04-18,0.0,0.0,0.0,2,0.910542318224907,1.0,FINBERT_ALPHA_GUARDIAN,0.0,2.0,
2015-04-19,-0.5905060366682096,0.0,1.0,2,0.9552759878337383,1.0,FINBERT_ALPHA_GUARDIAN,0.0,2.0,
2015-04-20,0.1418892409837434,0.2285007335809267,0.0858117356069474,10,5.236253058910371,1.0,FINBERT_ALPHA_GUARDIAN,0.0,10.0,
2015-04-21,-0.3031143200164057,0.0,0.3953470399053982,7,4.157451942563057,1.0,FINBERT_ALPHA_GUARDIAN,0.0,7.0,
2015-04-22,-0.2357741290966546,0.1371998077443121,0.4409008821619245,9,5.318142659962177,1.0,FINBERT_ALPHA_GUARDIAN,0.0,9.0,
2015-04-23,-0.2004072844435132,0.1386684944195974,0.4377106874256224,8,4.766898620128632,1.0,FINBERT_ALPHA_GUARDIAN,0.0,8.0,
2015-04-24,-0.2775860581715009,0.1780359637937757,0.4941253751565565,6,3.891615605354309,1.0,FINBERT_ALPHA_GUARDIAN,0.0,6.0,
2015-04-25,0.0,0.0,0.0,4,2.258446949720383,1.0,FINBERT_ALPHA_GUARDIAN,0.0,4.0,
2015-04-26,-0.3426462788806865,0.0,0.5086745053706972,2,0.9931785702705384,1.0,FINBERT_ALPHA_GUARDIAN,0.0,2.0,
2015-04-27,-0.2221476629990825,0.0,0.2576391364473742,8,4.764059874415398,1.0,FINBERT_ALPHA_GUARDIAN,0.0,8.0,
2015-04-28,-0.3537105566299168,0.0,0.3715577677012826,3,1.921571704745293,1.0,FINBERT_ALPHA_GUARDIAN,0.0,3.0,
2015-04-29,-0.5551339159334936,0.0,0.6259976505161815,7,4.525425347685815,1.0,FINBERT_ALPHA_GUARDIAN,0.0,7.0,
2015-04-30,-0.2560801252733113,0.1384563087706954,0.4250112648999727,8,4.94568508118391,1.0,FINBERT_ALPHA_GUARDIAN,0.0,8.0,
2015-05-01,-0.3419715575350331,0.1510470605720756,0.5322214590240586,8,4.886696884781122,1.0,FINBERT_ALPHA_GUARDIAN,0.0,8.0,
2015-05-02,-0.1773918773825412,0.2801901686018425,0.3970912014998372,3,1.9843808420002464,1.0,FINBERT_ALPHA_GUARDIAN,0.0,3.0,
2015-05-03,0.0,0.0,0.0,1,0.5865060389041901,1.0,FINBERT_ALPHA_GUARDIAN,0.0,1.0,
2015-05-05,-0.689220993360796,0.0,0.7651188302675366,4,2.6748073369264604,1.0,FINBERT_ALPHA_GUARDIAN,0.0,4.0,
2015-05-06,-0.4516090430213668,0.0,0.620182462970554,6,3.3130813151597978,1.0,FINBERT_ALPHA_GUARDIAN,0.0,6.0,
2015-05-07,-0.5378974129210056,0.0,0.6479830774250834,6,3.534634710848332,1.0,FINBERT_ALPHA_GUARDIAN,0.0,6.0,
2015-05-08,-0.530904767882237,0.0,0.5579493376615277,4,2.4720164179801944,1.0,FINBERT_ALPHA_GUARDIAN,0.0,4.0,
2015-05-10,0.1946219807438866,0.3662040697103485,0.0,2,1.01588277220726,1.0,FINBERT_ALPHA_GUARDIAN,0.0,2.0,
2015-05-11,-0.4246304369130387,0.0,0.471712376422359,9,5.646558523923159,1.0,FINBERT_ALPHA_GUARDIAN,0.0,9.0,
2015-05-12,-0.5105638615995387,0.0,0.5394002916998228,4,2.631018456816673,1.0,FINBERT_ALPHA_GUARDIAN,0.0,4.0,
2015-05-13,-0.2192931396407504,0.1276175787604087,0.346748561382048,7,4.356324869394303,1.0,FINBERT_ALPHA_GUARDIAN,0.0,7.0,
2015-05-14,-0.3721570425091415,0.0,0.4554471795904705,2,1.2558802992105484,1.0,FINBERT_ALPHA_GUARDIAN,0.0,2.0,
2015-05-15,0.1603318969531259,0.4532950567848464,0.1835103120488801,6,3.575141804665327,1.0,FINBERT_ALPHA_GUARDIAN,0.0,6.0,
2015-05-17,-0.6217213212097136,0.0,0.6382536936948969,2,1.0683341905474664,1.0,FINBERT_ALPHA_GUARDIAN,0.0,2.0,
2015-05-18,-0.0877441899294552,0.0,0.165969470206848,4,2.2297696173191075,1.0,FINBERT_ALPHA_GUARDIAN,0.0,4.0,
2015-05-19,-0.4951628015072268,0.0,0.5385191496445929,2,1.3872958220541478,1.0,FINBERT_ALPHA_GUARDIAN,0.0,2.0,
2015-05-20,-0.5618495073994112,0.0,0.6392698617934764,8,4.91079947128892,1.0,FINBERT_ALPHA_GUARDIAN,0.0,8.0,
2015-05-21,-0.4635591433541853,0.0,0.5023172754121786,6,3.854829126596451,1.0,FINBERT_ALPHA_GUARDIAN,0.0,6.0,
2015-05-22,0.0,0.0,0.0,3,1.7694538533687592,1.0,FINBERT_ALPHA_GUARDIAN,0.0,3.0,
2015-05-23,0.0,0.0,0.0,1,0.5963347017765046,1.0,FINBERT_ALPHA_GUARDIAN,0.0,1.0,
2015-05-24,-0.4269778910059137,0.0,0.4917412936794529,2,1.324321080744267,1.0,FINBERT_ALPHA_GUARDIAN,0.0,2.0,
2015-05-26,-0.3764438324755799,0.0,0.4374618264589296,7,4.341971042752266,1.0,FINBERT_ALPHA_GUARDIAN,0.0,7.0,
